project,approach,iter,dep_num,history_num,input_file,train_size,test_size,epoch_num,loss,tp,fp,tn,fn,random_precision,precision,recall,f1,auc,accuracy
accumulo,my,0,0,1,Dataset/accumulo_500_concatenated.csv,1328,1081,400,0.5357130169868469,431,70,255,325,0.6993524514338575,0.8602794411177644,0.5701058201058201,0.6857597454256166,0.6773606023606022,0.6345975948196114
accumulo,my,0,0,2,Dataset/accumulo_500_concatenated.csv,2422,1081,400,0.6600417494773865,457,288,250,86,0.5023126734505088,0.6134228187919463,0.8416206261510129,0.7096273291925465,0.6531523205104507,0.6540240518038853
accumulo,my,0,0,3,Dataset/accumulo_500_concatenated.csv,4222,1081,400,0.6931427121162415,0,0,716,365,0.33765032377428306,0.0,0.0,0.0,0.5,0.6623496762257169
accumulo,my,0,0,4,Dataset/accumulo_500_concatenated.csv,5026,1081,400,0.6928386092185974,427,301,237,116,0.5023126734505088,0.5865384615384616,0.7863720073664825,0.6719118804091266,0.6134462267315685,0.6142460684551342
accumulo,my,0,0,5,Dataset/accumulo_500_concatenated.csv,7368,1081,400,0.6363213062286377,497,376,162,46,0.5023126734505088,0.5693012600229095,0.9152854511970534,0.7019774011299434,0.6082003464163706,0.6096207215541165
accumulo,my,0,0,6,Dataset/accumulo_500_concatenated.csv,8114,1081,400,0.6931470632553101,0,0,538,543,0.5023126734505088,0.0,0.0,0.0,0.5,0.4976873265494912
accumulo,my,0,0,7,Dataset/accumulo_500_concatenated.csv,10088,1081,400,0.6910642981529236,499,380,158,44,0.5023126734505088,0.5676905574516496,0.9189686924493554,0.7018284106891702,0.6063244949235624,0.6077705827937095
accumulo,my,0,0,8,Dataset/accumulo_500_concatenated.csv,12258,1081,400,0.6447410583496094,489,361,177,54,0.5023126734505088,0.5752941176470588,0.9005524861878453,0.7020818377602297,0.6147743843578632,0.6160962072155411
accumulo,my,0,0,9,Dataset/accumulo_500_concatenated.csv,11070,1081,400,0.6137727200984955,756,325,0,0,0.6993524514338575,0.6993524514338575,1.0,0.8230811105062601,0.5,0.6993524514338575
accumulo,my,0,0,10,Dataset/accumulo_500_concatenated.csv,12504,1081,400,0.606707900762558,756,325,0,0,0.6993524514338575,0.6993524514338575,1.0,0.8230811105062601,0.5,0.6993524514338575
accumulo,my,0,0,11,Dataset/accumulo_500_concatenated.csv,13824,1081,400,0.6048486232757568,756,325,0,0,0.6993524514338575,0.6993524514338575,1.0,0.8230811105062601,0.5,0.6993524514338575
accumulo,my,0,0,12,Dataset/accumulo_500_concatenated.csv,13968,1081,400,0.6099330484867096,756,323,2,0,0.6993524514338575,0.70064874884152,1.0,0.8239782016348773,0.5030769230769231,0.7012025901942646
accumulo,my,0,0,13,Dataset/accumulo_500_concatenated.csv,14358,1081,400,0.6125754415988922,756,325,0,0,0.6993524514338575,0.6993524514338575,1.0,0.8230811105062601,0.5,0.6993524514338575
accumulo,my,1,0,1,Dataset/accumulo_500_concatenated.csv,1328,1081,400,0.5376409292221069,320,27,298,436,0.6993524514338575,0.9221902017291066,0.42328042328042326,0.5802357207615593,0.6701017501017502,0.5716928769657724
accumulo,my,1,0,2,Dataset/accumulo_500_concatenated.csv,2422,1081,400,0.5621487498283386,121,21,517,422,0.5023126734505088,0.852112676056338,0.22283609576427257,0.35328467153284676,0.591901319257601,0.5901942645698427
accumulo,my,1,0,3,Dataset/accumulo_500_concatenated.csv,4222,1081,400,0.6243780255317688,99,33,683,266,0.33765032377428306,0.75,0.27123287671232876,0.39839034205231383,0.6125717456187343,0.723404255319149
accumulo,my,1,0,4,Dataset/accumulo_500_concatenated.csv,5026,1081,400,0.6463878154754639,387,222,316,156,0.5023126734505088,0.6354679802955665,0.712707182320442,0.6718749999999999,0.6500338885579905,0.6503237742830712
accumulo,my,1,0,5,Dataset/accumulo_500_concatenated.csv,7368,1081,400,0.6931290626525879,504,406,132,39,0.5023126734505088,0.5538461538461539,0.9281767955801105,0.6937370956641431,0.5867649777157058,0.5883441258094357
accumulo,my,1,0,6,Dataset/accumulo_500_concatenated.csv,8114,1081,400,0.6627083420753479,503,410,128,40,0.5023126734505088,0.5509309967141293,0.9263351749539595,0.6909340659340659,0.5821266952836711,0.5837187789084182
accumulo,my,1,0,7,Dataset/accumulo_500_concatenated.csv,10088,1081,400,0.6636059880256653,539,479,59,4,0.5023126734505088,0.5294695481335953,0.992633517495396,0.6905829596412556,0.5511494725023448,0.5531914893617021
accumulo,my,1,0,8,Dataset/accumulo_500_concatenated.csv,12258,1081,400,0.6931633353233337,0,0,538,543,0.5023126734505088,0.0,0.0,0.0,0.5,0.4976873265494912
accumulo,my,1,0,9,Dataset/accumulo_500_concatenated.csv,11070,1081,400,0.6092413365840912,756,325,0,0,0.6993524514338575,0.6993524514338575,1.0,0.8230811105062601,0.5,0.6993524514338575
accumulo,my,1,0,10,Dataset/accumulo_500_concatenated.csv,12504,1081,400,0.5957295298576355,756,325,0,0,0.6993524514338575,0.6993524514338575,1.0,0.8230811105062601,0.5,0.6993524514338575
accumulo,my,1,0,11,Dataset/accumulo_500_concatenated.csv,13824,1081,400,0.5684346258640289,747,309,16,9,0.6993524514338575,0.7073863636363636,0.9880952380952381,0.8245033112582781,0.5186630036630037,0.7058279370952821
accumulo,my,1,0,12,Dataset/accumulo_500_concatenated.csv,13968,1081,400,0.6318989396095276,756,325,0,0,0.6993524514338575,0.6993524514338575,1.0,0.8230811105062601,0.5,0.6993524514338575
accumulo,my,1,0,13,Dataset/accumulo_500_concatenated.csv,14358,1081,400,0.6469243168830872,756,325,0,0,0.6993524514338575,0.6993524514338575,1.0,0.8230811105062601,0.5,0.6993524514338575
accumulo,my,2,0,1,Dataset/accumulo_500_concatenated.csv,1328,1081,400,0.5183453559875488,567,168,157,189,0.6993524514338575,0.7714285714285715,0.75,0.7605633802816902,0.6165384615384615,0.669750231267345
accumulo,my,2,0,2,Dataset/accumulo_500_concatenated.csv,2422,1081,400,0.4971214830875397,72,4,534,471,0.5023126734505088,0.9473684210526315,0.13259668508287292,0.2326332794830371,0.5625808704224774,0.5605920444033302
accumulo,my,2,0,3,Dataset/accumulo_500_concatenated.csv,4222,1081,400,0.6924961805343628,173,215,501,192,0.33765032377428306,0.44587628865979384,0.473972602739726,0.4594953519256308,0.5868466365653937,0.6234967622571693
accumulo,my,2,0,4,Dataset/accumulo_500_concatenated.csv,5026,1081,400,0.6805842518806458,456,296,242,87,0.5023126734505088,0.6063829787234043,0.8397790055248618,0.7042471042471042,0.644796565959457,0.6456984273820536
accumulo,my,2,0,5,Dataset/accumulo_500_concatenated.csv,7368,1081,400,0.5815443396568298,543,524,14,0,0.5023126734505088,0.5089034676663543,1.0,0.6745341614906833,0.5130111524163569,0.515263644773358
accumulo,my,2,0,6,Dataset/accumulo_500_concatenated.csv,8114,1081,400,0.6931308507919312,118,38,500,425,0.5023126734505088,0.7564102564102564,0.21731123388581952,0.3376251788268956,0.5733396318127982,0.5716928769657724
accumulo,my,2,0,7,Dataset/accumulo_500_concatenated.csv,10088,1081,400,0.6887485086917877,432,269,269,111,0.5023126734505088,0.6162624821683309,0.7955801104972375,0.6945337620578778,0.6477900552486188,0.6484736355226642
accumulo,my,2,0,8,Dataset/accumulo_500_concatenated.csv,12258,1081,400,0.6126959323883057,541,491,47,2,0.5023126734505088,0.5242248062015504,0.996316758747698,0.6869841269841269,0.5418386767716185,0.543940795559667
accumulo,my,2,0,9,Dataset/accumulo_500_concatenated.csv,11070,1081,400,0.620955765247345,756,325,0,0,0.6993524514338575,0.6993524514338575,1.0,0.8230811105062601,0.5,0.6993524514338575
accumulo,my,2,0,10,Dataset/accumulo_500_concatenated.csv,12504,1081,400,0.6138440370559692,756,325,0,0,0.6993524514338575,0.6993524514338575,1.0,0.8230811105062601,0.5,0.6993524514338575
accumulo,my,2,0,11,Dataset/accumulo_500_concatenated.csv,13824,1081,400,0.581099808216095,756,325,0,0,0.6993524514338575,0.6993524514338575,1.0,0.8230811105062601,0.5,0.6993524514338575
accumulo,my,2,0,12,Dataset/accumulo_500_concatenated.csv,13968,1081,400,0.5953989326953888,756,325,0,0,0.6993524514338575,0.6993524514338575,1.0,0.8230811105062601,0.5,0.6993524514338575
accumulo,my,2,0,13,Dataset/accumulo_500_concatenated.csv,14358,1081,400,0.6400362551212311,756,325,0,0,0.6993524514338575,0.6993524514338575,1.0,0.8230811105062601,0.5,0.6993524514338575
accumulo,my,3,0,1,Dataset/accumulo_500_concatenated.csv,1328,1081,400,0.540829598903656,468,105,220,288,0.6993524514338575,0.8167539267015707,0.6190476190476191,0.7042889390519187,0.647985347985348,0.6364477335800185
accumulo,my,3,0,2,Dataset/accumulo_500_concatenated.csv,2422,1081,400,0.6635438799858093,261,75,463,282,0.5023126734505088,0.7767857142857143,0.48066298342541436,0.5938566552901025,0.6706288894822239,0.669750231267345
accumulo,my,3,0,3,Dataset/accumulo_500_concatenated.csv,4222,1081,400,0.5330967903137207,56,11,705,309,0.33765032377428306,0.835820895522388,0.15342465753424658,0.25925925925925924,0.5690307645213133,0.7039777983348752
accumulo,my,3,0,4,Dataset/accumulo_500_concatenated.csv,5026,1081,400,0.6154177784919739,246,71,467,297,0.5023126734505088,0.7760252365930599,0.4530386740331492,0.5720930232558139,0.6605342069050504,0.6595744680851063
